Time,Balance
Thu Dec 28 2017 13:08:40 GMT-0500 (Eastern Standard Time),0.09472769848087684
Thu Dec 28 2017 13:09:40 GMT-0500 (Eastern Standard Time),0.09474693403728578
Thu Dec 28 2017 13:10:40 GMT-0500 (Eastern Standard Time),0.09474708676535175
Thu Dec 28 2017 13:11:40 GMT-0500 (Eastern Standard Time),0.09472780029890222
Thu Dec 28 2017 13:12:40 GMT-0500 (Eastern Standard Time),0.09470866260450302
Thu Dec 28 2017 13:13:41 GMT-0500 (Eastern Standard Time),0.0947087641192345
Thu Dec 28 2017 13:14:40 GMT-0500 (Eastern Standard Time),0.09470876970737349
Thu Dec 28 2017 13:15:40 GMT-0500 (Eastern Standard Time),0.0947087641192345
Thu Dec 28 2017 13:16:40 GMT-0500 (Eastern Standard Time),0.09486483126496105
Thu Dec 28 2017 13:17:41 GMT-0500 (Eastern Standard Time),0.09488482730607004
Thu Dec 28 2017 13:18:41 GMT-0500 (Eastern Standard Time),0.09488483702435399
Thu Dec 28 2017 13:19:40 GMT-0500 (Eastern Standard Time),0.09486480692220228
Thu Dec 28 2017 13:20:40 GMT-0500 (Eastern Standard Time),0.09486475469976942
Thu Dec 28 2017 13:21:40 GMT-0500 (Eastern Standard Time),0.09484495530343619
Thu Dec 28 2017 13:22:40 GMT-0500 (Eastern Standard Time),0.09482524048420589
Thu Dec 28 2017 13:23:40 GMT-0500 (Eastern Standard Time),0.09486479866241442
Thu Dec 28 2017 13:24:41 GMT-0500 (Eastern Standard Time),0.0948648938877693
Thu Dec 28 2017 13:25:42 GMT-0500 (Eastern Standard Time),0.09484504365023243
Thu Dec 28 2017 13:26:40 GMT-0500 (Eastern Standard Time),0.09484501614136413
Thu Dec 28 2017 13:27:41 GMT-0500 (Eastern Standard Time),0.09484501614136413
Thu Dec 28 2017 13:28:41 GMT-0500 (Eastern Standard Time),0.09484509458855021
Thu Dec 28 2017 13:29:42 GMT-0500 (Eastern Standard Time),0.09484514552962438
Thu Dec 28 2017 13:30:41 GMT-0500 (Eastern Standard Time),0.09488496282435664
Thu Dec 28 2017 13:31:41 GMT-0500 (Eastern Standard Time),0.09488496849322252
Thu Dec 28 2017 13:32:41 GMT-0500 (Eastern Standard Time),0.09488501952208356
Thu Dec 28 2017 13:33:41 GMT-0500 (Eastern Standard Time),0.09486499512315709
Thu Dec 28 2017 13:34:41 GMT-0500 (Eastern Standard Time),0.09490527602377667
Thu Dec 28 2017 13:35:41 GMT-0500 (Eastern Standard Time),0.09490527602377667
Thu Dec 28 2017 13:36:41 GMT-0500 (Eastern Standard Time),0.09490534850672493
Thu Dec 28 2017 13:37:41 GMT-0500 (Eastern Standard Time),0.09488507907918886
Thu Dec 28 2017 13:38:42 GMT-0500 (Eastern Standard Time),0.09488519380482038
Thu Dec 28 2017 13:39:41 GMT-0500 (Eastern Standard Time),0.09490541776531443
Thu Dec 28 2017 13:40:42 GMT-0500 (Eastern Standard Time),0.0949053600807229
Thu Dec 28 2017 13:41:41 GMT-0500 (Eastern Standard Time),0.09492573324391868
Thu Dec 28 2017 13:42:41 GMT-0500 (Eastern Standard Time),0.09490527874195319
Thu Dec 28 2017 13:43:41 GMT-0500 (Eastern Standard Time),0.09492578021664828
Thu Dec 28 2017 13:44:41 GMT-0500 (Eastern Standard Time),0.09492586730461902
Thu Dec 28 2017 13:45:41 GMT-0500 (Eastern Standard Time),0.09494649722878537
Thu Dec 28 2017 13:46:41 GMT-0500 (Eastern Standard Time),0.09494650146270024
Thu Dec 28 2017 13:47:41 GMT-0500 (Eastern Standard Time),0.09505497738093978
Thu Dec 28 2017 13:48:41 GMT-0500 (Eastern Standard Time),0.09505497738093978
Thu Dec 28 2017 13:49:41 GMT-0500 (Eastern Standard Time),0.09505513667900169
Thu Dec 28 2017 13:50:41 GMT-0500 (Eastern Standard Time),0.09505527955651366
Thu Dec 28 2017 13:51:42 GMT-0500 (Eastern Standard Time),0.09505513992043017
Thu Dec 28 2017 13:52:41 GMT-0500 (Eastern Standard Time),0.09503439893026713
Thu Dec 28 2017 13:53:41 GMT-0500 (Eastern Standard Time),0.09501357255547292
Thu Dec 28 2017 13:54:41 GMT-0500 (Eastern Standard Time),0.0950552121450352
Thu Dec 28 2017 13:55:42 GMT-0500 (Eastern Standard Time),0.09505516738196156
Thu Dec 28 2017 13:56:41 GMT-0500 (Eastern Standard Time),0.09505516738196156
Thu Dec 28 2017 13:57:41 GMT-0500 (Eastern Standard Time),0.09505519426703771
Thu Dec 28 2017 13:58:41 GMT-0500 (Eastern Standard Time),0.09505523139710859
Thu Dec 28 2017 13:59:42 GMT-0500 (Eastern Standard Time),0.09507562538925139
Thu Dec 28 2017 14:00:41 GMT-0500 (Eastern Standard Time),0.09505544284624408
Thu Dec 28 2017 14:01:42 GMT-0500 (Eastern Standard Time),0.09505449739408749
Thu Dec 28 2017 14:02:41 GMT-0500 (Eastern Standard Time),0.09499255142163003
Thu Dec 28 2017 14:03:41 GMT-0500 (Eastern Standard Time),0.0949522810727791
Thu Dec 28 2017 14:04:50 GMT-0500 (Eastern Standard Time),0.09497228482636486
